variant_id,variant_type,n_images,annotation_quality,diversity,lighting_diversity,pose_diversity,class_balance,map50,map50_95,training_epochs,elapsed_s
v00_full,baseline,128,0.577,0.4058,0.4584,0.8314,0.924,0.395,0.0,0,2.4
v01_subset_20pct,size_variant,25,0.7111,0.3646,0.3042,0.7932,0.9397,0.4636,0.0,0,0.7
v02_subset_30pct,size_variant,38,0.5409,0.3946,0.5493,0.7811,0.9131,0.4309,0.0,0,1.0
v03_subset_40pct,size_variant,51,0.6099,0.3728,0.4494,0.7851,0.9309,0.3915,0.0,0,1.0
v04_subset_50pct,size_variant,64,0.5699,0.3742,0.4218,0.8257,0.9241,0.4222,0.0,0,1.0
v05_subset_60pct,size_variant,76,0.5498,0.4094,0.5493,0.8378,0.9204,0.4256,0.0,0,1.0
v06_subset_70pct,size_variant,89,0.6018,0.3905,0.4433,0.8313,0.9139,0.4144,0.0,0,1.1
v07_subset_80pct,size_variant,102,0.5855,0.3757,0.3789,0.838,0.9373,0.4146,0.0,0,1.0
v09_noise_s5,noise,89,0.5538,0.3734,0.3908,0.7787,0.9237,0.4106,0.0,0,1.1
v10_noise_s15,noise,89,0.5633,0.3585,0.5188,0.8073,0.916,0.3854,0.0,0,1.2
v11_noise_s25,noise,89,0.5721,0.3145,0.5188,0.8474,0.918,0.3706,0.0,0,1.2
v12_noise_s35,noise,89,0.5672,0.2886,0.4939,0.8222,0.9226,0.3416,0.0,0,1.2
v13_noise_s50,noise,89,0.5875,0.239,0.445,0.85,0.9193,0.2731,0.0,0,1.2
v14_noise_s75,noise,89,0.5783,0.205,0.4381,0.829,0.915,0.2088,0.0,0,1.3
v15_dark_20,brightness,76,0.5374,0.3501,0.0,0.8451,0.9431,0.4103,0.0,0,1.0
v16_dark_40,brightness,76,0.6496,0.3883,0.0,0.8298,0.9136,0.4092,0.0,0,1.0
v17_dark_50,brightness,76,0.6278,0.3798,0.3311,0.837,0.9212,0.4141,0.0,0,1.0
v18_dark_60,brightness,76,0.5373,0.39,0.5922,0.8468,0.894,0.4308,0.0,0,1.0
v19_dark_80,brightness,76,0.564,0.3997,0.4685,0.7648,0.9284,0.3989,0.0,0,1.0
v20_blur_k3,blur,89,0.6193,0.4098,0.4703,0.8281,0.9172,0.4252,0.0,0,1.0
v21_blur_k7,blur,89,0.5952,0.4163,0.4703,0.8318,0.9113,0.3663,0.0,0,1.0
v22_blur_k11,blur,89,0.5456,0.4315,0.4939,0.8308,0.9382,0.3841,0.0,0,1.0
v23_blur_k21,blur,89,0.5582,0.4346,0.5161,0.8749,0.933,0.3573,0.0,0,1.0
v24_blur_k41,blur,89,0.6335,0.4485,0.5188,0.8137,0.9311,0.3444,0.0,0,1.0
v25_noise_dark,noise+dark,64,0.5629,0.3274,0.5408,0.7774,0.8899,0.386,0.0,0,1.1
v26_noise_blur,noise+blur,64,0.5662,0.3941,0.3424,0.8513,0.9051,0.3928,0.0,0,1.1
v27_dark_blur,dark+blur,64,0.5633,0.4132,0.1722,0.7722,0.9485,0.4024,0.0,0,0.9
v28_heavy_degrade,heavy_degrade,64,0.5894,0.4061,0.0,0.8103,0.9226,0.3574,0.0,0,0.9
v29_small_clean,small_clean,15,0.5,0.4423,0.5714,0.7297,0.8686,0.3962,0.0,0,0.5
